Day,Date,Topic,Task,Status,GitHub Link,Notes
1,,Bash,List files and directories using `ls`,To Do,,
2,,Bash,Write a bash script using variables,To Do,,
3,,Bash,Change file permissions using `chmod`,To Do,,
4,,Bash,Use `find` to search for files,To Do,,
5,,Bash,"Redirect output using `>`, `>>`, and pipes",To Do,,
6,,Python,Print and get input from user,To Do,,
7,,Python,Use conditionals and loops,To Do,,
8,,Python,Write functions with arguments and return values,To Do,,
9,,Python,Read/write a file with `open()`,To Do,,
10,,Python,Use `requests` to call a public API,To Do,,
11,,Git,Initialize repo and commit files,To Do,,
12,,Git,Create and merge branches,To Do,,
13,,Git,Resolve merge conflicts,To Do,,
14,,Git,Push code to GitHub,To Do,,
15,,Git,Create a pull request,To Do,,
16,,SQL,SELECT with WHERE clause,To Do,,
17,,SQL,Use JOIN to combine tables,To Do,,
18,,SQL,Group data using GROUP BY and HAVING,To Do,,
19,,SQL,Filter and sort result sets,To Do,,
20,,SQL,Subqueries and nested SELECTs,To Do,,
21,,Docker,Install Docker and run hello-world,To Do,,
22,,Docker,Write a simple Dockerfile,To Do,,
23,,Docker,Build and tag a Docker image,To Do,,
24,,Docker,Run containers with volumes,To Do,,
25,,Docker,Push images to Docker Hub,To Do,,
26,,CI/CD,Create a GitHub Action workflow,To Do,,
27,,CI/CD,Set up CI for linting or testing,To Do,,
28,,CI/CD,Use secrets in workflows,To Do,,
29,,CI/CD,Trigger workflows with push events,To Do,,
30,,CI/CD,Deploy a static site via CI,To Do,,
31,,Data Analysis,Load a CSV file with Pandas,To Do,,
32,,Data Analysis,Clean missing data,To Do,,
33,,Data Analysis,Group and aggregate data,To Do,,
34,,Data Analysis,Visualize data with matplotlib,To Do,,
35,,Data Analysis,Use seaborn for statistical plots,To Do,,
36,,Cloud,Create AWS Free Tier account,To Do,,
37,,Cloud,Launch EC2 instance,To Do,,
38,,Cloud,Upload to S3 bucket,To Do,,
39,,Cloud,Set up Lambda function,To Do,,
40,,Cloud,Use AWS CLI to manage resources,To Do,,
41,,Bash,List files and directories using `ls`,To Do,,
42,,Bash,Write a bash script using variables,To Do,,
43,,Bash,Change file permissions using `chmod`,To Do,,
44,,Bash,Use `find` to search for files,To Do,,
45,,Bash,"Redirect output using `>`, `>>`, and pipes",To Do,,
46,,Python,Print and get input from user,To Do,,
47,,Python,Use conditionals and loops,To Do,,
48,,Python,Write functions with arguments and return values,To Do,,
49,,Python,Read/write a file with `open()`,To Do,,
50,,Python,Use `requests` to call a public API,To Do,,
51,,Git,Initialize repo and commit files,To Do,,
52,,Git,Create and merge branches,To Do,,
53,,Git,Resolve merge conflicts,To Do,,
54,,Git,Push code to GitHub,To Do,,
55,,Git,Create a pull request,To Do,,
56,,SQL,SELECT with WHERE clause,To Do,,
57,,SQL,Use JOIN to combine tables,To Do,,
58,,SQL,Group data using GROUP BY and HAVING,To Do,,
59,,SQL,Filter and sort result sets,To Do,,
60,,SQL,Subqueries and nested SELECTs,To Do,,
61,,Docker,Install Docker and run hello-world,To Do,,
62,,Docker,Write a simple Dockerfile,To Do,,
63,,Docker,Build and tag a Docker image,To Do,,
64,,Docker,Run containers with volumes,To Do,,
65,,Docker,Push images to Docker Hub,To Do,,
66,,CI/CD,Create a GitHub Action workflow,To Do,,
67,,CI/CD,Set up CI for linting or testing,To Do,,
68,,CI/CD,Use secrets in workflows,To Do,,
69,,CI/CD,Trigger workflows with push events,To Do,,
70,,CI/CD,Deploy a static site via CI,To Do,,
71,,Data Analysis,Load a CSV file with Pandas,To Do,,
72,,Data Analysis,Clean missing data,To Do,,
73,,Data Analysis,Group and aggregate data,To Do,,
74,,Data Analysis,Visualize data with matplotlib,To Do,,
75,,Data Analysis,Use seaborn for statistical plots,To Do,,
76,,Cloud,Create AWS Free Tier account,To Do,,
77,,Cloud,Launch EC2 instance,To Do,,
78,,Cloud,Upload to S3 bucket,To Do,,
79,,Cloud,Set up Lambda function,To Do,,
80,,Cloud,Use AWS CLI to manage resources,To Do,,
81,,Bash,List files and directories using `ls`,To Do,,
82,,Bash,Write a bash script using variables,To Do,,
83,,Bash,Change file permissions using `chmod`,To Do,,
84,,Bash,Use `find` to search for files,To Do,,
85,,Bash,"Redirect output using `>`, `>>`, and pipes",To Do,,
86,,Python,Print and get input from user,To Do,,
87,,Python,Use conditionals and loops,To Do,,
88,,Python,Write functions with arguments and return values,To Do,,
89,,Python,Read/write a file with `open()`,To Do,,
90,,Python,Use `requests` to call a public API,To Do,,
91,,Git,Initialize repo and commit files,To Do,,
92,,Git,Create and merge branches,To Do,,
93,,Git,Resolve merge conflicts,To Do,,
94,,Git,Push code to GitHub,To Do,,
95,,Git,Create a pull request,To Do,,
96,,SQL,SELECT with WHERE clause,To Do,,
97,,SQL,Use JOIN to combine tables,To Do,,
98,,SQL,Group data using GROUP BY and HAVING,To Do,,
99,,SQL,Filter and sort result sets,To Do,,
100,,SQL,Subqueries and nested SELECTs,To Do,,
